Player,Pos,Pos Rank,ESPN,Sleeper,NFL,RTSPORTS,AVG Draft Position,year
Jahmyr Gibbs,RB,RB1,1,1,,,1.3,2026
Bijan Robinson,RB,RB2,2,2,,,2,2026
Ja'Marr Chase,WR,WR1,4,3,,,3.2,2026
Puka Nacua,WR,WR2,3,4,,,5.6,2026
Jaxon Smith-Njigba,WR,WR3,5,6,,,6.1,2026
Christian McCaffrey,RB,RB3,6,5,,,6.1,2026
Amon-Ra St. Brown,WR,WR4,8,8,,,7,2026
Jonathan Taylor,RB,RB4,7,7,,,7.7,2026
CeeDee Lamb,WR,WR5,9,9,,,10.2,2026
James Cook III,RB,RB5,12,10,,,10.6,2026
Justin Jefferson,WR,WR6,10,11,,,11.4,2026
Ashton Jeanty,RB,RB6,14,14,,,13.5,2026
Saquon Barkley,RB,RB7,13,13,,,13.9,2026
De'Von Achane,RB,RB8,11,12,,,14.8,2026
Chase Brown,RB,RB9,24,17,,,16.1,2026
Omarion Hampton,RB,RB10,19,16,,,16.7,2026
Drake London,WR,WR7,15,15,,,17.4,2026
Kenneth Walker III,RB,RB11,23,20,,,18.3,2026
A.J. Brown,WR,WR8,25,18,,,19.6,2026
Derrick Henry,RB,RB12,18,22,,,20.6,2026
Brock Bowers,TE,TE1,22,21,,,22.8,2026
Trey McBride,TE,TE2,17,19,,,23.1,2026
Josh Allen,QB,QB1,20,24,,,24,2026
George Pickens,WR,WR9,27,23,,,24,2026
Nico Collins,WR,WR10,26,26,,,24.2,2026
Jeremiyah Love,RB,RB13,16,25,,,25.9,2026
Rashee Rice,WR,WR11,21,28,,,27,2026
Malik Nabers,WR,WR12,31,27,,,28.3,2026
Kyren Williams,RB,RB14,38,31,,,30.3,2026
Chris Olave,WR,WR13,29,29,,,30.8,2026
Josh Jacobs,RB,RB15,28,30,,,32,2026
Breece Hall,RB,RB16,32,32,,,33.2,2026
Javonte Williams,RB,RB17,33,37,,,35.8,2026
DeVonta Smith,WR,WR14,35,38,,,36.4,2026
Tee Higgins,WR,WR15,51,34,,,36.9,2026
Zay Flowers,WR,WR16,37,44,,,38.5,2026
Emeka Egbuka,WR,WR17,40,40,,,39.2,2026
Ladd McConkey,WR,WR18,47,39,,,39.6,2026
Tetairoa McMillan,WR,WR19,36,35,,,40.4,2026
Cam Skattebo,RB,RB18,39,45,,,41.4,2026
Lamar Jackson,QB,QB2,34,33,,,41.7,2026
Colston Loveland,TE,TE3,41,41,,,41.7,2026
Garrett Wilson,WR,WR20,30,43,,,42.7,2026
Travis Etienne Jr.,RB,RB19,45,42,,,42.7,2026
Bucky Irving,RB,RB20,50,36,,,44.9,2026
Jaylen Waddle,WR,WR21,53,47,,,44.9,2026
Tyler Warren,TE,TE4,42,46,,,49.5,2026
Luther Burden III,WR,WR22,66,49,,,50.9,2026
Quinshon Judkins,RB,RB21,49,52,,,51,2026
David Montgomery,RB,RB22,64,53,,,51.6,2026
D'Andre Swift,RB,RB23,62,58,,,51.8,2026
Davante Adams,WR,WR23,43,50,,,52.4,2026
Terry McLaurin,WR,WR24,54,56,,,52.9,2026
Drake Maye,QB,QB3,44,48,,,56.2,2026
TreVeyon Henderson,RB,RB24,60,51,,,56.4,2026
DJ Moore,WR,WR25,59,57,,,57.1,2026
Bhayshul Tuten,RB,RB25,68,60,,,58.2,2026
Joe Burrow,QB,QB4,52,54,,,58.6,2026
Jameson Williams,WR,WR26,57,55,,,59.4,2026
Mike Evans,WR,WR27,83,59,,,60.3,2026
Rome Odunze,WR,WR28,61,65,,,61.8,2026
Carnell Tate,WR,WR29,58,62,,,64.3,2026
Christian Watson,WR,WR30,90,70,,,64.3,2026
Jadarian Price,RB,RB26,69,69,,,65.8,2026
Sam LaPorta,TE,TE5,56,64,,,66.8,2026
Tucker Kraft,TE,TE6,87,66,,,68,2026
Jalen Hurts,QB,QB5,48,63,,,68.2,2026
Jayden Daniels,QB,QB6,46,61,,,68.5,2026
Parker Washington,WR,WR31,91,79,,,71.1,2026
Harold Fannin Jr.,TE,TE7,65,67,,,71.9,2026
Jaylen Warren,RB,RB27,92,74,,,71.9,2026
Brian Thomas Jr.,WR,WR32,95,71,,,72.6,2026
Marvin Harrison Jr.,WR,WR33,79,78,,,75,2026
Jordyn Tyson,WR,WR34,86,73,,,76.2,2026
Kyle Pitts Sr.,TE,TE8,55,68,,,76.4,2026
DK Metcalf,WR,WR35,73,72,,,77,2026
Chuba Hubbard,RB,RB28,104,76,,,78.4,2026
Rhamondre Stevenson,RB,RB29,102,86,,,80.5,2026
Caleb Williams,QB,QB7,80,75,,,81.8,2026
Tony Pollard,RB,RB30,76,87,,,82.4,2026
Courtland Sutton,WR,WR36,71,80,,,84.1,2026
RJ Harvey,RB,RB31,119,77,,,86,2026
Michael Wilson,WR,WR37,96,83,,,86.5,2026
Rico Dowdle,RB,RB32,101,88,,,86.7,2026
Justin Herbert,QB,QB8,100,84,,,89.8,2026
J.K. Dobbins,RB,RB33,116,89,,,91.2,2026
Chris Godwin Jr.,WR,WR38,140,95,,,91.8,2026
Alec Pierce,WR,WR39,84,93,,,93.8,2026
Dak Prescott,QB,QB9,72,85,,,94,2026
Jaxson Dart,QB,QB10,63,81,,,95.5,2026
Makai Lemon,WR,WR40,110,82,,,96,2026
Quentin Johnston,WR,WR41,139,105,,,96.5,2026
Kyle Monangai,RB,RB34,123,94,,,96.9,2026
George Kittle,TE,TE9,85,92,,,97.7,2026
Blake Corum,RB,RB35,135,101,,,100,2026
Michael Pittman Jr.,WR,WR42,78,100,,,100.3,2026
Josh Downs,WR,WR43,111,111,,,100.7,2026
Travis Kelce,TE,TE10,89,98,,,101.2,2026
Kenny Gainwell,RB,RB36,112,109,,,101.8,2026
Jonathon Brooks,RB,RB37,118,129,,,101.8,2026
Trevor Lawrence,QB,QB11,81,96,,,102.3,2026
Jordan Addison,WR,WR44,115,103,,,102.7,2026
Wan'Dale Robinson,WR,WR45,109,108,,,104.3,2026
Dalton Kincaid,TE,TE11,131,90,,,105.2,2026
Jakobi Meyers,WR,WR46,108,97,,,106,2026
Stefon Diggs,WR,WR47,133,117,,,107.5,2026
Jayden Reed,WR,WR48,136,114,,,108.8,2026
Jacory Croskey-Merritt,RB,RB38,137,112,,,109.3,2026
Jordan Mason,RB,RB39,155,120,,,109.3,2026
Aaron Jones Sr.,RB,RB40,114,115,,,113,2026
Rachaad White,RB,RB41,117,124,,,113.2,2026
Jake Ferguson,TE,TE12,103,99,,,113.8,2026
