Player,Pos,Pos Rank,ESPN,Sleeper,NFL,RTSPORTS,AVG Draft Position,year
Patrick Mahomes II,QB,QB12,99,106,,,114.8,2026
Isaiah Likely,TE,TE13,120,116,,,116.1,2026
Matthew Stafford,QB,QB13,67,102,,,119.5,2026
Dallas Goedert,TE,TE14,88,119,,,120.7,2026
Brock Purdy,QB,QB14,93,113,,,121.4,2026
Matthew Golden,WR,WR49,97,132,,,121.5,2026
Romeo Doubs,WR,WR50,150,122,,,123.9,2026
KC Concepcion,WR,WR51,147,133,,,124.3,2026
Jayden Higgins,WR,WR52,158,134,,,126.1,2026
Bo Nix,QB,QB15,77,118,,,126.1,2026
Mark Andrews,TE,TE15,113,123,,,126.1,2026
Los Angeles Rams,DS,DST1,82,91,,,127.5,2026
Deebo Samuel Sr.,WR,WR53,129,139,,,128.3,2026
Khalil Shakir,WR,WR54,127,135,,,130.4,2026
Zach Charbonnet,RB,RB42,146,138,,,130.6,2026
Jalen Coker,WR,WR55,161,144,,,130.7,2026
Xavier Worthy,WR,WR56,132,136,,,130.9,2026
Brandon Aubrey,K1,K1,70,125,,,131.8,2026
Tyrone Tracy Jr.,RB,RB43,180,156,,,132.8,2026
Houston Texans,DS,DST2,74,104,,,133.7,2026
Chris Rodriguez Jr.,RB,RB44,188,154,,,134.7,2026
Oronde Gadsden II,TE,TE16,233,107,,,136.6,2026
Jared Goff,QB,QB16,134,126,,,136.7,2026
Seattle Seahawks,DS,DST3,98,110,,,136.8,2026
Tyler Allgeier,RB,RB45,213,146,,,137.7,2026
Woody Marks,RB,RB46,149,155,,,139,2026
Hunter Henry,TE,TE17,138,121,,,139.7,2026
Rashid Shaheed,WR,WR57,157,158,,,142.1,2026
Denver Broncos,DS,DST4,75,128,,,143.5,2026
Brian Robinson Jr.,RB,RB47,172,140,,,144.6,2026
Alvin Kamara,RB,RB48,154,162,,,145.5,2026
Keaton Mitchell,RB,RB49,—,180,,,145.5,2026
Denzel Boston,WR,WR58,171,159,,,145.9,2026
Jonah Coleman,RB,RB50,—,161,,,146,2026
Kyler Murray,QB,QB17,145,157,,,147.2,2026
Cameron Dicker,K2,K2,94,127,,,147.4,2026
Jordan Love,QB,QB18,159,145,,,148.2,2026
De'Zhaun Stribling,WR,WR59,208,179,,,148.3,2026
Baker Mayfield,QB,QB19,143,147,,,148.9,2026
Brenton Strange,TE,TE18,186,149,,,149.1,2026
Kenyon Sadiq,TE,TE19,130,137,,,150.2,2026
Jason Myers,K3,K3,106,131,,,150.9,2026
Jalen Nailor,WR,WR60,242,181,,,152,2026
Philadelphia Eagles,DS,DST5,126,130,,,152.5,2026
Tyjae Spears,RB,RB51,192,175,,,153.1,2026
Juwan Johnson,TE,TE20,168,164,,,153.6,2026
Chig Okonkwo,TE,TE21,200,167,,,153.8,2026
Cam Little,K4,K4,128,143,,,154,2026
Ka'imi Fairbairn,K5,K5,125,141,,,154.3,2026
Isiah Pacheco,RB,RB52,156,187,,,154.6,2026
Tyler Shough,QB,QB20,153,160,,,157.6,2026
Tank Bigsby,RB,RB53,183,197,,,157.8,2026
Travis Hunter,WR,WR61,107,166,,,157.8,2026
Malik Willis,QB,QB21,178,168,,,158.4,2026
Dylan Sampson,RB,RB54,—,195,,,159,2026
Baltimore Ravens,DS,DST6,122,142,,,159.2,2026
Jauan Jennings,WR,WR62,—,174,,,159.6,2026
T.J. Hockenson,TE,TE22,124,163,,,160.2,2026
Omar Cooper Jr.,WR,WR63,—,171,,,160.4,2026
Minnesota Vikings,DS,DST7,194,151,,,161,2026
Jalen McMillan,WR,WR64,181,196,,,161.3,2026
New England Patriots,DS,DST8,141,148,,,162.3,2026
Ja'Kobi Lane,WR,WR65,202,176,,,162.7,2026
Harrison Mevis,K6,K6,121,150,,,163.9,2026
Tank Dell,WR,WR66,187,190,,,164.3,2026
Dalton Schultz,TE,TE23,185,170,,,164.9,2026
Emmett Johnson,RB,RB55,—,194,,,165.5,2026
Pittsburgh Steelers,DS,DST9,105,165,,,165.6,2026
Jerry Jeudy,WR,WR67,162,198,,,165.6,2026
Sam Darnold,QB,QB22,166,178,,,165.9,2026
Jacksonville Jaguars,DS,DST10,175,169,,,167,2026
MarShawn Lloyd,RB,RB56,—,240,,,167,2026
Zachariah Branch,WR,WR68,—,193,,,167.4,2026
Jake Bates,K7,K7,152,182,,,168,2026
C.J. Stroud,QB,QB23,170,189,,,168,2026
Ray Davis,RB,RB57,—,258,,,168.4,2026
Adonai Mitchell,WR,WR69,214,222,,,168.4,2026
Tre Tucker,WR,WR70,189,217,,,168.7,2026
Will Reichard,K8,K8,169,172,,,169,2026
Nicholas Singleton,RB,RB58,—,201,,,169.3,2026
Detroit Lions,DS,DST11,148,152,,,169.4,2026
James Conner,RB,RB59,—,199,,,170.1,2026
Daniel Jones,QB,QB24,160,210,,,170.2,2026
Mike Washington Jr.,RB,RB60,—,224,,,170.2,2026
Braelon Allen,RB,RB61,—,219,,,170.4,2026
AJ Barner,TE,TE24,195,188,,,170.5,2026
Tre' Harris,WR,WR71,—,215,,,170.5,2026
Los Angeles Chargers,DS,DST12,165,186,,,171,2026
Cam Ward,QB,QB25,182,191,,,171,2026
Tyler Loop,K9,K9,167,204,,,171.3,2026
Eddy Pineiro,K1,K10,144,173,,,171.5,2026
Bryce Young,QB,QB26,190,208,,,171.6,2026
Antonio Williams,WR,WR72,—,202,,,171.7,2026
Jaydon Blue,RB,RB62,—,254,,,171.7,2026
Evan McPherson,K1,K11,196,184,,,171.8,2026
Kimani Vidal,RB,RB63,—,228,,,171.8,2026
Cairo Santos,K1,K12,177,192,,,171.9,2026
Terrance Ferguson,TE,TE25,173,211,,,172.1,2026
Malik Washington,WR,WR73,—,247,,,172.1,2026
David Njoku,TE,TE26,224,212,,,172.2,2026
Dontayvion Wicks,WR,WR74,—,—,,,172.7,2026
Greg Dulcich,TE,TE27,—,266,,,173,2026
Chris Boswell,K1,K13,163,177,,,173,2026
Andy Borregales,K1,K14,256,153,,,173.1,2026
Ryan Flournoy,WR,WR75,—,256,,,173.2,2026
Dallas Cowboys,DS,DST13,174,203,,,173.5,2026
Demond Claiborne,RB,RB64,—,287,,,173.5,2026
Cade Otton,TE,TE28,—,214,,,173.6,2026
Eli Stowers,TE,TE29,253,226,,,173.6,2026
Pat Bryant,WR,WR76,—,249,,,173.6,2026
Harrison Butker,K1,K15,142,183,,,174,2026
Tyreek Hill,WR,WR77,240,209,,,174,2026
Kayshon Boutte,WR,WR78,—,220,,,174.1,2026
San Francisco 49ers,DS,DST14,191,231,,,174.6,2026
Cooper Kupp,WR,WR79,197,248,,,174.8,2026
Pat Freiermuth,TE,TE30,198,278,,,175.2,2026
Kaytron Allen,RB,RB65,—,229,,,175.2,2026
Kansas City Chiefs,DS,DST15,164,207,,,175.3,2026
Fernando Mendoza,QB,QB27,176,185,,,175.6,2026
Ollie Gordon II,RB,RB66,—,—,,,175.7,2026
Colby Parkinson,TE,TE31,—,292,,,175.7,2026
Tyler Bass,K1,K16,216,347,,,175.7,2026
Jaylen Wright,RB,RB67,—,283,,,175.7,2026
Isaac TeSlaa,WR,WR80,—,221,,,175.8,2026
Chase McLaughlin,K1,K17,203,233,,,176.2,2026
Darnell Mooney,WR,WR81,—,289,,,176.2,2026
Rashod Bateman,WR,WR82,—,253,,,176.2,2026
Cyrus Allen,WR,WR83,232,242,,,176.6,2026
Ted Hurst III,WR,WR84,—,277,,,176.6,2026
Jake Tonges,TE,TE32,—,276,,,176.6,2026
Sean Tucker,RB,RB68,—,282,,,176.8,2026
Gunnar Helm,TE,TE33,—,252,,,176.8,2026
Troy Franklin,WR,WR85,—,281,,,177,2026
Cleveland Browns,DS,DST16,151,306,,,177.1,2026
Justice Hill,RB,RB69,—,—,,,177.2,2026
Kaelon Black,RB,RB70,—,—,,,177.5,2026
Jacoby Brissett,QB,QB28,—,280,,,177.8,2026
Chris Bell,WR,WR86,—,274,,,178,2026
Wil Lutz,K1,K18,236,291,,,178.1,2026
Emanuel Wilson,RB,RB71,—,288,,,178.2,2026
Keon Coleman,WR,WR87,—,257,,,178.3,2026
Malachi Fields,WR,WR88,251,275,,,178.4,2026
Jordan James,RB,RB72,—,—,,,178.5,2026
Samaje Perine,RB,RB73,—,—,,,178.7,2026
Aaron Rodgers,QB,QB29,201,259,,,178.8,2026
Calvin Ridley,WR,WR89,179,290,,,178.9,2026
Trey Benson,RB,RB74,282,293,,,179.1,2026
Chicago Bears,DS,DST17,207,237,,,179.2,2026
Jaylin Noel,WR,WR90,—,218,,,179.2,2026
Elic Ayomanor,WR,WR91,437,200,,,179.4,2026
Geno Smith,QB,QB30,—,—,,,179.8,2026
Green Bay Packers,DS,DST18,184,205,,,180.1,2026
George Holani,RB,RB75,—,—,,,180.6,2026
Buffalo Bills,DS,DST19,199,232,,,180.6,2026
Ricky Pearsall,WR,WR92,—,—,,,181,2026
Jake Elliott,K1,K19,193,270,,,181.1,2026
New York Giants,DS,DST20,205,239,,,181.5,2026
Tory Horton,WR,WR93,—,244,,,181.5,2026
Germie Bernard,WR,WR94,—,268,,,182,2026
Keenan Allen,WR,WR95,263,255,,,190.8,2026
